,Word,Number of Occurances,process
230,able,31,0
28,access,120,1
86,achillea,64,0
198,achnatherum,35,0
173,across,39,1
104,adapt,56,1
191,agriculture,36,0
12,allium,202,0
205,american,35,0
65,analysis,80,1
119,ant,50,0
172,archaeobotany,39,0
46,archaeology,93,0
114,area,52,0
53,artemisia,87,0
175,asclepia,39,0
96,astragalus,59,0
202,atriplex,35,0
167,attract,40,1
162,available,41,0
140,bee,45,0
215,best,33,0
43,beta,95,0
234,better,31,1
68,biology,76,0
125,botany,48,0
13,breed,195,1
193,breeding,36,1
33,brenner,110,0
117,bromus,51,0
220,butterflies,33,0
52,can,87,
227,carex,32,0
17,carstens,172,0
188,chemical,37,0
110,children,53,0
222,cicer,32,0
76,class,71,0
124,climate,48,0
55,coin,87,1
18,collect,158,1
176,common,39,0
50,communities,88,0
25,compare,127,1
143,conduct,44,1
64,control,81,1
157,create,41,1
26,crop,127,0
187,cross,37,1
192,cultivar,36,0
151,data,43,0
91,determine,63,1
27,develop,121,1
14,differ,193,1
208,disease,34,0
51,divers,88,1
97,dna,59,0
158,drought,41,0
231,ecology,31,0
22,education,140,1
58,effect,84,1
195,efn,36,0
45,elymus,93,0
201,environment,67,0
47,evaluate,92,1
82,evolution,68,0
67,experience ,77,1
212,extract,34,1
149,families,44,0
159,farm,41,1
75,festuca,72,0
126,field,47,0
171,find,39,1
87,flower,64,0
182,focus,38,1
73,food,74,0
184,fruit,38,0
6,garden,332,0
92,gene,61,0
142,genera,45,0
30,genetics,114,0
83,genome,66,0
145,genus,44,0
56,germinate,86,1
36,germplasm,106,0
235,goal,31,1
21,grass,141,0
180,grasses,38,0
122,greenhouse,49,0
240,group,31,1
8,grow,258,1
146,grown,44,1
44,growth,94,1
219,hardi,33,0
70,help,75,1
233,herbarium,31,0
80,high,69,0
166,home,40,0
137,hope,45,1
29,host,118,1
155,hybrid,42,0
71,identify,121,1
177,import,38,1
207,improve,34,1
79,include,70,1
179,increase,38,1
186,inform,37,1
164,insect,40,0
204,intend,35,1
103,interest,57,1
100,investigate,58,1
197,ipomoea,35,0
19,lactuca,152,0
228,land,32,0
237,landscape,31,0
121,lathyrus,49,0
99,learn,58,1
185,leymus,38,0
60,local,83,0
89,look,63,1
148,lotus,44,0
34,lupinus,109,0
218,lycium,33,0
190,make,36,0
66,mani,79,0
23,marek,133,0
16,materials,174,0
181,may,38,
61,medicago,82,0
147,medicine,44,0
214,misc,34,0
161,molecular,41,0
232,multiply,31,1
189,mutualist,37,1
111,nat,52,0
10,native,216,0
102,nature,57,0
150,need,43,1
226,nepeta,32,0
62,new,82,0
168,nicotiana,40,0
199,non,35,
134,one,46,0
42,order,95,1
223,orders,32,1
130,organ,47,0
95,ornamental,60,0
156,part,42,1
224,partner,32,0
105,penstemon,56,0
141,perennial,45,0
85,person,65,0
9,phaseolus,236,0
213,phlox,34,0
163,phylogenet,41,0
31,pisum,114,0
38,plan,100,1
1,plant,815,0
153,plantago,42,0
35,plants,106,0
54,poa,87,0
59,pollin,83,0
135,popul,46,0
88,possible,64,1
57,potenital ,86,1
238,process,31,1
106,produce,55,1
127,product,47,0
63,program,82,0
20,project,148,0
152,propagate,43,1
118,provide,50,1
236,public,31,0
129,purpose,47,0
84,range,65,0
206,rate,34,1
211,receive,34,1
77,refer,70,1
183,region,38,0
98,reitsma,58,0
94,relate,60,1
194,relationship,36,1
69,request,75,1
5,research,381,1
131,resist,47,0
239,resource,31,0
216,restore,33,1
169,result,39,0
210,rheum,34,0
109,root,53,0
15,salvia,186,0
154,sample,42,1
72,school,75,0
128,screen,47,1
93,season,60,0
165,sedum,40,0
3,seed,518,0
74,select,72,1
170,sever,39,0
196,ship,36,1
209,show,34,1
160,site,41,0
37,soil,104,0
7,species,356,0
115,specific,52,0
144,specimen,44,0
113,state,52,0
39,student,98,0
4,studies,403,1
225,system,32,0
41,teach,97,1
11,test,213,1
101,thank,57,1
120,time,49,0
138,tolerance,45,0
139,trait,45,0
81,trial,68,1
32,trifolium,111,0
136,type,45,0
174,understand,39,1
133,universe,46,0
2,use,650,1
178,vari,38,0
221,variaties,33,0
49,varietals,90,0
78,various,70,0
107,vicia,53,0
116,want,51,1
108,warm,53,0
217,water,33,0
200,weed,35,0
48,well,91,.
90,wild,63,0
123,within,48,0
24,work,130,1
112,year,52,0
203,zone,35,0
