"","Taxon_final","latitude","longitude","db","type","institute","sample_number","record_identifier","status","genus","country","locality","improvement"
"1","Cucurbita_argyrosperma_subsp._sororia",19.1819,-101.8063,"CWR_OCC","G","Bioversity","","2628226","","Cucurbita","Mexico","Mexico:Michoacan State","wild"
"2","Cucurbita_argyrosperma_subsp._sororia",18.4566,-99.0081,"CWR_OCC","G","Bioversity","","2628227","","Cucurbita","Mexico","Mexico:Morelos State","wild"
"3","Cucurbita_argyrosperma_subsp._sororia",-31.398,-64.181,"GBIF","H","MO","1259543121","1259543121","PRESERVED_SPECIMEN","Cucurbita","AR","Ciudad de CÃ³rdoba","wild"
"4","Cucurbita_argyrosperma_subsp._sororia",8.6,-79.88333,"GBIF","H","MO","1258713812","1258713812","PRESERVED_SPECIMEN","Cucurbita","PA","1 mi W Bejuco along Interamerican Highway [maybe is N instead of W  since Interamerican HW goes N-S]","wild"
"5","Cucurbita_argyrosperma_subsp._sororia",8.8,-82.505,"GBIF","H","MO","1258547229","1258547229","PRESERVED_SPECIMEN","Cucurbita","PA","Road to top of El Baru from Boquete (East side of Baru)","wild"
"6","Cucurbita_argyrosperma_subsp._sororia",12.7,-87.05,"GBIF","H","MO","1258712306","1258712306","PRESERVED_SPECIMEN","Cucurbita","NI","VolcÃ¡n Chonco","wild"
"7","Cucurbita_argyrosperma_subsp._sororia",12.75,-86.55,"GBIF","H","MO","1261260246","1261260246","PRESERVED_SPECIMEN","Cucurbita","NI","De Larreynaga 8 km al NE  en el RÃ­o Tecomopa","wild"
"8","Cucurbita_argyrosperma_subsp._sororia",12.858333,-87.625,"GBIF","H","MOBOT","1421513781","1421513781","PRESERVED_SPECIMEN","Cucurbita","NI","Along road to El Tanque  ca.  0.8 km. W of road to Las Enramadas (Playa Mechapa) and ca. 10.9 km. SW of road to Potosi. ca.","wild"
"9","Cucurbita_argyrosperma_subsp._sororia",12.86388,-87.58055,"GBIF","H","MO","1258431877","1258431877","PRESERVED_SPECIMEN","Cucurbita","NI","Along road to El Tanque  ca 0.8 km W of road to Las Enramades (Playa Mechapa) and ca 10.9 km SW of road to PotosÃ­; disturbed roadside thicket","wild"
"10","Cucurbita_argyrosperma_subsp._sororia",12.95,-87.6,"GBIF","H","MO","1258599423","1258599423","PRESERVED_SPECIMEN","Cucurbita","NI","CercanÃ­as del poblado CosigÃ¼ina","wild"
"11","Cucurbita_argyrosperma_subsp._sororia",12.968889,-86.955278,"GBIF","H","MO","1257607309","1257607309","PRESERVED_SPECIMEN","Cucurbita","NI","4 km SE of Somotillo on Chinandega to Guasaule highway  then about 12 km along road to Las Mesas  about 1 km before Las Mesas; thorn scrub around a partially quarried serpentine outcrop","wild"
"12","Cucurbita_argyrosperma_subsp._sororia",13.11666,-86.43333,"GBIF","H","MO","1261259729","1261259729","PRESERVED_SPECIMEN","Cucurbita","NI","Cerro QuiabÃº; bosque enano","wild"
"13","Cucurbita_argyrosperma_subsp._sororia",13.13333,-86.33333,"GBIF","H","MO","1258510532","1258510532","PRESERVED_SPECIMEN","Cucurbita","NI","Paso LeÃ³n  ca. 3.9 km NNE of Hwy. 1 at EstelÃ­ on road to YalÃ­; disturbed vegetation along quebrada.","wild"
